Name,Time,DataSet,Algorithm,Config,ChcCount,PlainCount,CompressionRatio,VCoreSize,VCorePlain,VCoreVar,Variants
Z3/p-->p/V1*V2*V3*V4/Chc/0/numPlain/0/Compression/0/VCore_Total/16/VCorePlain/0/VCoreVar/0/Variants/1,1.1661846136666667,Z3,p-->p,V1*V2*V3*V4,0,0.0,0.0,16,0,0,16
Z3/p-->p/V1*V2*V3*V4*V5/Chc/0/numPlain/0/Compression/0/VCore_Total/32/VCorePlain/0/VCoreVar/0/Variants/1,2.754853670333333,Z3,p-->p,V1*V2*V3*V4*V5,0,0.0,0.0,32,0,0,32
Z3/p-->p/V1*V2*V3*V4*V5*V6/Chc/0/numPlain/0/Compression/0/VCore_Total/64/VCorePlain/0/VCoreVar/0/Variants/1,6.198331521666667,Z3,p-->p,V1*V2*V3*V4*V5*V6,0,0.0,0.0,64,0,0,64
Z3/p-->p/V1*V2*V3*V4*V5*V6*V7/Chc/0/numPlain/0/Compression/0/VCore_Total/128/VCorePlain/0/VCoreVar/0/Variants/1,13.639457247666668,Z3,p-->p,V1*V2*V3*V4*V5*V6*V7,0,0.0,0.0,128,0,0,128
Z3/p-->p/V1*V2*V3*V4*V5*V6*V7*V8/Chc/0/numPlain/0/Compression/0/VCore_Total/256/VCorePlain/0/VCoreVar/0/Variants/1,29.90548646666667,Z3,p-->p,V1*V2*V3*V4*V5*V6*V7*V8,0,0.0,0.0,256,0,0,256
Z3/p-->p/V1*V2*V3*V4*V5*V6*V7*V8*V9/Chc/0/numPlain/0/Compression/0/VCore_Total/512/VCorePlain/0/VCoreVar/0/Variants/1,59.340590728,Z3,p-->p,V1*V2*V3*V4*V5*V6*V7*V8*V9,0,0.0,0.0,512,0,0,512
Z3/p-->p/V1*V2*V3*V4*V5*V6*V7*V8*V9*V10/Chc/0/numPlain/0/Compression/0/VCore_Total/1024/VCorePlain/0/VCoreVar/0/Variants/1,118.99854899,Z3,p-->p,V1*V2*V3*V4*V5*V6*V7*V8*V9*V10,0,0.0,0.0,1024,0,0,1024
Z3/v-->p/V1/Chc/0/numPlain/0/Compression/0/VCore_Total/1/VCorePlain/0/VCoreVar/0/Variants/1,0.00023847157971014493,Z3,v-->p,V1,0,0.0,0.0,1,0,0,1
Z3/v-->p/V2/Chc/0/numPlain/0/Compression/0/VCore_Total/1/VCorePlain/0/VCoreVar/0/Variants/1,0.000256772528,Z3,v-->p,V2,0,0.0,0.0,1,0,0,1
Z3/v-->p/V3/Chc/0/numPlain/0/Compression/0/VCore_Total/1/VCorePlain/0/VCoreVar/0/Variants/1,0.0002203769144736842,Z3,v-->p,V3,0,0.0,0.0,1,0,0,1
Z3/v-->p/V4/Chc/0/numPlain/0/Compression/0/VCore_Total/1/VCorePlain/0/VCoreVar/0/Variants/1,0.00022377407236842106,Z3,v-->p,V4,0,0.0,0.0,1,0,0,1
Z3/v-->p/V5/Chc/0/numPlain/0/Compression/0/VCore_Total/1/VCorePlain/0/VCoreVar/0/Variants/1,0.00026880384033613447,Z3,v-->p,V5,0,0.0,0.0,1,0,0,1
Z3/v-->p/V6/Chc/0/numPlain/0/Compression/0/VCore_Total/1/VCorePlain/0/VCoreVar/0/Variants/1,0.0002721009923664122,Z3,v-->p,V6,0,0.0,0.0,1,0,0,1
Z3/v-->p/V7/Chc/0/numPlain/0/Compression/0/VCore_Total/1/VCorePlain/0/VCoreVar/0/Variants/1,0.00023793025694444447,Z3,v-->p,V7,0,0.0,0.0,1,0,0,1
Z3/v-->p/V8/Chc/0/numPlain/0/Compression/0/VCore_Total/1/VCorePlain/0/VCoreVar/0/Variants/1,0.00024233435507246378,Z3,v-->p,V8,0,0.0,0.0,1,0,0,1
Z3/v-->p/V9/Chc/0/numPlain/0/Compression/0/VCore_Total/1/VCorePlain/0/VCoreVar/0/Variants/1,0.00022823394078947366,Z3,v-->p,V9,0,0.0,0.0,1,0,0,1
Z3/v-->p/V10/Chc/0/numPlain/0/Compression/0/VCore_Total/1/VCorePlain/0/VCoreVar/0/Variants/1,0.00023717079861111111,Z3,v-->p,V10,0,0.0,0.0,1,0,0,1
Z3/v-->p/V1/Chc/558/numPlain/558/Compression/0.78768235/VCore_Total/2890/VCorePlain/2332/VCoreVar/558/Variants/2,0.08956745366666667,Z3,v-->p,V1,558,558.0,0.78768235,2890,2332,558,2
Z3/v-->p/V1*V2/Chc/1322/numPlain/1322/Compression/0.4616535/VCore_Total/3515/VCorePlain/2202/VCoreVar/1313/Variants/4,0.25232699399999997,Z3,v-->p,V1*V2,1322,1322.0,0.4616535,3515,2202,1313,4
Z3/v-->p/V1*V2*V3/Chc/1400/numPlain/1400/Compression/0.23948032/VCore_Total/3532/VCorePlain/2157/VCoreVar/1375/Variants/8,0.538038488,Z3,v-->p,V1*V2*V3,1400,1400.0,0.23948032,3532,2157,1375,8
Z3/v-->p/V1*V2*V3*V4/Chc/1478/numPlain/1478/Compression/0.12483662/VCore_Total/3580/VCorePlain/2135/VCoreVar/1445/Variants/16,1.024603859,Z3,v-->p,V1*V2*V3*V4,1478,1478.0,0.12483662,3580,2135,1445,16
Z3/v-->p/V1*V2*V3*V4*V5/Chc/2159/numPlain/2159/Compression/6.726688e-2/VCore_Total/3588/VCorePlain/1827/VCoreVar/1761/Variants/32,2.568200603333333,Z3,v-->p,V1*V2*V3*V4*V5,2159,2159.0,0.06726688,3588,1827,1761,32
Z3/v-->p/V1*V2*V3*V4*V5*V6/Chc/2827/numPlain/2827/Compression/3.424053e-2/VCore_Total/4020/VCorePlain/1716/VCoreVar/2304/Variants/64,5.976198686333333,Z3,v-->p,V1*V2*V3*V4*V5*V6,2827,2827.0,0.03424053,4020,1716,2304,64
Z3/v-->p/V1*V2*V3*V4*V5*V6*V7/Chc/3248/numPlain/3248/Compression/1.7480673e-2/VCore_Total/4135/VCorePlain/1560/VCoreVar/2575/Variants/128,13.107357252666667,Z3,v-->p,V1*V2*V3*V4*V5*V6*V7,3248,3248.0,0.017480673,4135,1560,2575,128
Z3/v-->p/V1*V2*V3*V4*V5*V6*V7*V8/Chc/3633/numPlain/3633/Compression/8.891835e-3/VCore_Total/4392/VCorePlain/1498/VCoreVar/2894/Variants/256,27.61453708566667,Z3,v-->p,V1*V2*V3*V4*V5*V6*V7*V8,3633,3633.0,0.008891835,4392,1498,2894,256
Z3/v-->p/V1*V2*V3*V4*V5*V6*V7*V8*V9/Chc/3752/numPlain/3752/Compression/4.50614e-3/VCore_Total/4419/VCorePlain/1461/VCoreVar/2958/Variants/512,56.524804288333335,Z3,v-->p,V1*V2*V3*V4*V5*V6*V7*V8*V9,3752,3752.0,0.00450614,4419,1461,2958,512
Z3/v-->p/V1*V2*V3*V4*V5*V6*V7*V8*V9*V10/Chc/3809/numPlain/3809/Compression/2.245556e-3/VCore_Total/4456/VCorePlain/1441/VCoreVar/3015/Variants/1024,116.96331175833335,Z3,v-->p,V1*V2*V3*V4*V5*V6*V7*V8*V9*V10,3809,3809.0,0.002245556,4456,1441,3015,1024
